num_owners,recent_transfers,avg_transfer_interval,has_inheritance,num_active_loans,num_closed_loans,total_loan_amount,num_defaults,loan_to_value,num_active_disputes,num_resolved_disputes,dispute_severity,has_legal_case,dispute_age_days,property_age,property_area,location_risk,has_clear_title,zone_risk,property_type,risk_score,risk_level
4,2,8.055317650335985,0,1,5,1777246.8936645493,0,0.28458991568835323,0,1,3.7396070025657777,0,540.4183218282503,28.703028952289827,5740.1491904597615,3.1693940770930387,0,4,Residential,59.19,Medium
1,1,4.897723929655684,0,1,4,839534.8919586362,3,0.33386516535914573,1,4,3.9075252631988335,0,394.6524108012306,60.95074524179594,1079.6324866263851,8.8693001680764,1,3,Agricultural,74.39,High
3,0,3.156174215626153,0,1,1,49312.71143680955,0,0.6743579279550531,0,1,1.3503230837125415,0,856.9035595335106,22.87726097721979,11509.472641970706,3.2765781172175172,1,2,Agricultural,42.36,Medium
3,1,1.2262068085222027,1,0,4,3809325.1766748163,0,0.4494204849320794,1,3,0.22443180597387621,0,849.2494842876308,45.32377040135883,48714.142609368995,6.556916401041535,1,3,Residential,62.0,High
2,2,2.034178040250127,0,1,4,464465.89370990556,0,0.031946178139259845,0,2,1.7132495577648796,0,49.89704251649494,40.90028311882181,659.1077699755317,4.220120918258019,1,3,Commercial,30.93,Low
3,2,16.07484567196789,0,2,2,961145.8691679271,0,0.6272163146688357,0,0,3.4399722976991054,0,847.5505955780894,19.67384308363289,7210.981962859901,3.8964350111696096,0,2,Agricultural,54.68,Medium
2,0,3.6707828132415448,0,0,1,34493.27322376422,0,0.40173910143470093,2,3,0.6834981230386388,0,270.8696147951994,24.832409721731263,12931.333845340669,4.185960124662848,1,3,Agricultural,34.64,Low
3,0,2.5599588609579493,0,3,2,246698.5094592929,0,0.3848000811571276,0,0,3.6372020960030818,0,113.90555239194902,18.730514409712715,500.0,5.492812730105367,1,1,Industrial,41.71,Medium
1,1,3.684680802285763,1,2,2,553802.9889144143,0,0.4690035894763369,2,0,2.259703514653865,0,342.2863989521602,35.40937545521321,13448.370892450776,8.605437279524029,1,5,Residential,72.88,High
2,0,7.5477028465639915,0,0,2,56267.382744213515,0,0.1743028897646645,2,0,8.72388977782044,0,120.36234708164089,6.81912664200058,5042.537580043475,7.833864124277316,1,2,Agricultural,42.45,Medium
4,0,2.0784025644608453,0,1,4,335597.7836161641,0,0.35476632310577594,0,1,3.4826426245033906,0,237.9874200142061,26.73026522878173,7798.657097966013,5.044067976348745,1,4,Agricultural,41.92,Medium
2,2,1.0,0,0,0,292305.9420179051,0,0.23003171814066486,0,0,0.4500417850664619,0,618.7487188334886,24.637839407190434,500.0,3.5394426041719886,1,4,Commercial,23.05,Low
1,0,4.396614194422857,0,2,1,121698.78333723453,0,0.11863798196120695,1,2,1.192055675130183,0,30.0,1.0,9098.316735891569,8.688708828751277,0,5,Commercial,52.39,Medium
3,0,5.471170984782329,0,1,1,178530.2490217269,0,0.14048399880183077,2,3,0.21853285607372283,0,73.81216692397233,34.627493919818036,2265.698149655539,8.831665106772068,0,4,Residential,55.27,Medium
4,2,6.236454887689461,0,2,2,1707420.3321366822,0,0.22493960831127963,0,1,0.14443305265221185,0,1144.9673052870037,40.1611095138371,539.9459185138229,5.083086705648881,1,5,Residential,48.44,Medium
4,2,10.68482748523406,0,0,3,170294.28877684273,0,0.11829051466734251,2,0,2.4487200428468525,0,214.97201708443572,8.26078990289582,8534.431008995603,7.262612724624539,1,1,Industrial,43.3,Medium
